CaseID,Title,Location,City,State,Latitude,Longitude,Number of Civilian Fatalities,Number of Civilian Injured,Number of Enforcement Fatalities,Number of Enforcement Injured,Total Number of Fatalities,Total Number of Victims,Date,Number of shooters,Average Shooter Age,Shooter Sex,Shooter Race,Type of Gun - General,School Related,Place Type,Relationship to Incident Location,Targeted Victim/s - General,Possible Motive - General,History of Mental Illness - General,Data Source 1
1,University of Texas at Austin,"Austin, Texas",Austin,Texas,30.1988873,-97.84415949,15,32,1,0,16,48,8/1/1966,1,25,Male,White American or European American,Multiple guns,Yes,College/University/Adult education,Place of schooling,General public,Mental illness,Yes,http://en.wikipedia.org/wiki/Charles_Whitman
2,Rose-Mar College of Beauty,"Mesa, Arizona",Mesa,Arizona,33.42268696,-111.8163202,5,1,0,0,5,6,11/12/1966,1,18,Male,White American or European American,Handgun,Yes,College/University/Adult education,None,Students/Classmates/Teacher,Mental illness,Yes,"""Slaughter In The College Of Beauty."" Time 88.21 (1966): 53. Academic Search Premier. Web. 22 Feb. 2013."
3,New Orleans Police Shootings,"New Orleans, Louisiana",New Orleans,Louisiana,30.0687242,-89.93147412,4,8,5,5,10,22,12/31/1972,1,23,Male,Black American or African American,Multiple guns,No,Government facility,Local government,Government,Race,Yes,"http://news.google.com/newspapers?nid=1144&dat=19730114&id=-1QqAAAAIBAJ&sjid=WVMEAAAAIBAJ&pg=5032,3829837"
4,Clara Barton Elementary School,"Chicago, Illinois",Chicago,Illinois,41.83928045,-87.68818145,1,3,0,0,1,4,1/17/1974,1,14,Male,Unknown,Handgun,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Expulsion/Suspension,Yes,"http://news.google.com/newspapers?nid=1338&dat=19740118&id=yJJYAAAAIBAJ&sjid=bfgDAAAAIBAJ&pg=5680,1254913"
5,Olean High School,"Olean, New York",Olean,New York,42.08185369,-78.43213922,3,7,0,0,3,10,12/30/1974,1,17,Male,White American or European American,Multiple guns,Yes,Secondary school,Place of schooling,General public,Mental illness,No,http://buffalo.ynn.com/content/top_stories/622960/remembering-the-1974-school-shooting-in-olean/
6,Los Angeles Computer Learning Center,"Los Angeles, California",Los Angeles,California,34.17622092,-118.5399542,1,6,1,0,1,8,2/19/1976,1,18,Male,White American or European American,Shotgun,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Social dispute,Unknown,"http://news.google.com/newspapers?nid=1314&dat=19760220&id=lyBOAAAAIBAJ&sjid=du0DAAAAIBAJ&pg=5146,1263980"
7,Cal State Fullerton,"Fullerton, California",Fullerton,California,33.88404244,-117.92785,7,2,0,0,7,9,7/12/1976,1,37,Male,White American or European American,Rifle,Yes,College/University/Adult education,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,http://ranchosantamargarita.patch.com/articles/cal-state-fullerton-slayings-set-the-bar-on-terror
8,Grover Cleveland Elementary School,"San Diego, California",San Diego,California,32.86357277,-117.1281628,2,8,0,1,2,11,1/29/1979,1,16,Female,White American or European American,Rifle,Yes,Primary school,Place of residency,Students/Classmates/Teacher,Mental illness,Yes,http://www.utsandiego.com/news/2012/dec/14/looking-back-at-san-diegos-school-shootings/
9,University of South Carolina,"Columbia, South Carolina",Columbia,South Carolina,34.05098834,-80.82077527,2,5,0,0,2,7,10/6/1979,1,19,Male,Black American or African American,Handgun,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Unknown,Unknown,"http://news.google.com/newspapers?nid=1755&dat=19791007&id=4-MeAAAAIBAJ&sjid=q2cEAAAAIBAJ&pg=6878,2336857"
10,Valley High School,"Las Vegas, Nevada",Las Vegas,Nevada,36.18931923,-115.3264875,1,2,0,0,1,3,3/19/1982,1,17,Male,White American or European American,Handgun,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Multiple motives,Yes,"http://news.google.com/newspapers?id=CB4eAAAAIBAJ&sjid=tn4EAAAAIBAJ&pg=5606,5302821&hl=en"
11,Welding shop in Miami,"Miami, Florida",Miami,Florida,25.79653943,-80.20840397,8,3,0,0,9,11,8/20/1982,1,51,Male,White American or European American,Shotgun,No,Retail/Wholesale/Services facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,http://www.nytimes.com/1982/08/21/us/gunman-in-miami-kills-8-in-rampage.html
12,Wah Mee Club in Seattle,"Seattle, Washington",Seattle,Washington,47.62199575,-122.323646,13,1,0,0,13,14,2/18/1983,3,23,Male,Asian American,Handgun,No,Entertainment venue,Place of recreation,General public,Robbery,Unknown,http://www.historylink.org/index.cfm?DisplayPage=output.cfm&file_id=382
13,Johnston Post Office,"Johnston, South Carolina",Johnston,South Carolina,33.83272887,-81.8051584,1,3,0,0,1,4,8/19/1983,1,55,Male,White American or European American,Shotgun,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,Yes,http://www.alternet.org/story/24798/excerpt%3A_breaking_down_at_the_post_office
14,49th Street Elementary School,"Los Angeles, California",Los Angeles,California,34.17622092,-118.5399542,2,12,0,0,3,14,2/24/1984,1,28,Male,Black American or African American,Multiple guns,Yes,Primary school,Place of residency,Students/Classmates/Teacher,Multiple motives,Yes,http://www.nytimes.com/1984/02/25/us/girl-killed-11-shot-at-school-on-coast-suspect-found-dead.html
15,Ianni's Club in Dallas,"Dallas, Texas",Dallas,Texas,32.79480596,-96.76631094,6,1,0,0,6,7,6/29/1984,1,39,Male,White American or European American,Handgun,No,Entertainment venue,Place of recreation,General public,Social dispute,Yes,http://www.nycrimecommission.org/mass-shooting-incidents-america.php
16,McDonald's restaurant in San Ysidro,"San Ysidro, California",San Ysidro,California,32.555556,-117.047656,21,19,0,0,22,40,7/18/1984,1,41,Male,White American or European American,Multiple guns,No,Restaurant/cafe,Place of recreation,General public,Multiple motives,Yes,http://www.nycrimecommission.org/mass-shooting-incidents-america.php
17,Goddard Junior High School,"Goddard, Kansas",Goddard,Kansas,37.67129418,-97.55070476,1,3,0,0,1,4,1/21/1985,1,14,Male,White American or European American,Multiple guns,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Harassment,Yes,"http://news.google.com/newspapers?nid=1345&dat=19850122&id=zgNMAAAAIBAJ&sjid=mfkDAAAAIBAJ&pg=3595,1404563"
18,Atlanta Post Office,"Atlanta, Georgia",Atlanta,Georgia,33.7629969,-84.4231328,2,1,0,0,2,3,3/6/1985,1,30,Male,Black American or African American,Handgun,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Mental illness,Yes,http://articles.latimes.com/1985-03-07/news/mn-34494_1_wounds-two
19,New York Technical College,"Brooklyn, New York",Brooklyn,New York,40.679276,-73.939513,1,4,0,0,1,5,8/12/1986,1,29,Male,Black American or African American,Handgun,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Mental illness,Yes,http://www.nytimes.com/1986/08/16/nyregion/student-held-in-college-shootings-is-to-undergo-psychiatric-exams.html
20,"Post office in Edmond, Oklahoma","Edmond, Oklahoma",Edmond,Oklahoma,35.66889223,-97.41438792,14,6,0,0,15,20,8/20/1986,1,44,Male,White American or European American,Handgun,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Multiple motives,Yes,http://digital.library.okstate.edu/encyclopedia/entries/E/ED003.html
21,Fergus County High School,"Lewistown, Montana",Lewistown,Montana,47.03740653,-109.4844918,1,3,0,0,1,4,12/4/1986,1,14,Male,White American or European American,Handgun,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Failure,Yes,"http://news.google.com/newspapers?nid=1734&dat=19861205&id=XKYeAAAAIBAJ&sjid=-lEEAAAAIBAJ&pg=6886,4504603"
22,Palm Bay Shopping Centers,"Palm Bay, Florida",Palm Bay,Florida,27.98388983,-80.66662713,4,14,2,0,6,20,4/23/1987,1,59,Male,White American or European American,Multiple guns,No,Retail/Wholesale/Services facility,Place of residency,General public,Mental illness,Yes,http://www.floridacapitalcases.state.fl.us/case_updates/Htm/117051.htm
23,Pinellas Park High School,"Pinellas Park, Florida",Pinellas Park,Florida,27.84887061,-82.71058,1,2,0,0,1,3,2/11/1988,2,15.5,Male,White American or European American,Multiple guns,Yes,Secondary school,Place of schooling,Students/Classmates/Teacher,Expulsion/Suspension,No,http://articles.orlandosentinel.com/keyword/pinellas-park-high
24,Electromagnetic Systems Laboratory (ESL),"Sunnyvale, California",Sunnyvale,California,37.38344257,-122.0256185,7,4,0,0,7,11,2/16/1988,1,39,Male,White American or European American,Multiple guns,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Rejection,Yes,"California Supreme Court documentation of the proceedings <https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=5&cad=rja&ved=0CEkQFjAE&url=http%3A%2F%2Fcaselaw.lp.findlaw.com%2Fdata2%2Fcaliforniastatecases%2FS024833A.DOC&ei=8Cr9Uv_AE9PhoATHroKoCg&usg=AFQjCNGQEnn2EMU-NMgpfEg-7wQ1WChgFw&sig2=uTLjyEFnIHh4fNYtot1MqA&bvm=bv.61190604,d.cGU>"
25,Hubbard Woods Elementary School,"Winnetka, Illinois",Winnetka,Illinois,42.10648807,-87.74211141,1,7,0,0,2,8,5/20/1988,1,30,Female,White American or European American,Multiple guns,Yes,Primary school,Place of residency,Students/Classmates/Teacher,Mental illness,Yes,http://www.nytimes.com/1988/05/22/us/police-still-unraveling-trail-left-by-woman-in-rampage.html
26,Comet Auto Parts and Montefiore School,"Chicago, Illinois",Chicago,Illinois,41.83928045,-87.68818145,3,1,1,1,5,6,9/22/1988,1,40,Male,Black American or African American,Handgun,Yes,Primary school,Place of residency,General public,Mental illness,No,http://articles.chicagotribune.com/1988-09-23/news/8802010552_1_gunman-police-officers-montefiore-school
27,Oakland Elementary School,"Greenwood, South Carolina",Greenwood,South Carolina,34.1928952,-82.15355508,2,9,0,0,2,11,9/26/1988,1,19,Male,White American or European American,Handgun,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Mental illness,Yes,http://www.nytimes.com/1988/09/28/us/man-held-in-school-shooting-is-depicted-as-jobless-recluse.html
28,New Orleans Downtown Post Office,"New Orleans, Louisiana",New Orleans,Louisiana,30.0687242,-89.93147412,0,3,0,1,0,4,12/14/1988,1,39,Male,Unknown,Shotgun,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Rejection,Unknown,books.google.com/books?isbn=0398074321
29,Cleveland Elementary School,"Stockton, California",Stockton,California,37.96631812,-121.3018775,5,30,0,0,6,35,1/17/1989,1,24,Male,White American or European American,Multiple guns,Yes,Primary school,Place of schooling,Students/Classmates/Teacher,Race,Yes,http://www.nycrimecommission.org/initiative1-shootings.php
30,Orange Glenn Post Office,"Escondido, California",Escondido,California,33.13439925,-117.0722528,3,1,0,0,4,4,8/10/1989,1,52,Male,White American or European American,Handgun,No,Government facility,Place of business/employment,Colleague/Workmate/Business acquaintance,Unknown,No,http://articles.latimes.com/keyword/john-merlin-taylor
31,Standard Gravure Corporation,"Louisville, Kentucky",Louisville,Kentucky,38.249432,-85.726243,8,12,0,0,9,20,9/14/1989,1,47,Male,White American or European American,Multiple guns,No,Company/Factory/Office,Place of business/employment,Colleague/Workmate/Business acquaintance,Terminated/Denied,Yes,http://www.nycrimecommission.org/initiative1-shootings.php
32,GMAC Loan Office,"Jacksonville, Florida",Jacksonville,Florida,30.33216122,-81.67576993,11,6,0,0,12,17,6/17/1990,1,42,Male,Black American or African American,Multiple guns,No,Company/Factory/Office,Place of business/employment,General public,Robbery,No,http://www.nycrimecommission.org/initiative1-shootings.php
33,University of Iowa,"Iowa City, Iowa",Iowa City,Iowa,41.65589405,-91.53117986,5,1,0,0,6,6,11/1/1991,1,28,Male,Asian American,Handgun,Yes,College/University/Adult education,Place of schooling,Students/Classmates/Teacher,Failure,No,http://articles.chicagotribune.com/1991-11-03/news/9104080982_1_van-allen-hall-dissertation-jessup-hall
